region,demand
Afghanistan,228
Albania,40
Algeria,454
Angola,317
Argentina,1504
Armenia,3
Australia,10673
Austria,1148
Azerbaijan,54
Bahrain,6
Bangladesh,680
Barbados,76
Belarus,178
Belgium,575
Benin,66
Bolivia,174
Bosnia and Herzegovina,50
Brazil,6148
Bulgaria,174
Burundi,4
Cambodia,154
Cameroon,228
Canada,833
Central African Republic,15
Chad,11
Chile,551
China,7081
Colombia,1277
Cote d'Ivoire,247
Croatia,90
Cuba,2717
Czech Republic,164
Democratic Republic of the Congo,903
Denmark,220
Djibouti,31
Dominican Republic,2736
Ecuador,198
Egypt,1123
El Salvador,2734
Equatorial Guinea,3
Eritrea,4
Estonia,24
Ethiopia,18
Finland,201
France,10804
Gabon,46
Georgia,81
Germany,7745
Ghana,264
Guadeloupe,24
Guatemala,1920
Guinea,32
Guinea-Bissau,13
Haiti,392
Honduras,2556
Hong Kong,70
Hungary,174
India,5758
Indonesia,5237
Iran,1394
Iraq,858
Ireland,414
Israel,225
Italy,4126
Jamaica,112
Japan,996
Jordan,106
Kazakhstan,209
Kenya,224
Kyrgyzstan,79
Lebanon,18
Lesotho,23
Liberia,37
Libya,103
Lithuania,143
Macedonia,6
Madagascar,142
Malaysia,676
Mali,80
Martinique,122
Mauritania,29
Mexico,10011
Moldova,95
Mongolia,80
Montenegro,13
Morocco,1023
Mozambique,231
Myanmar (Burma),489
Namibia,30
Nepal,69
Netherlands,1682
New Zealand,2089
Nicaragua,2235
Niger,103
Nigeria,2056
Norway,261
Pakistan,948
Panama,1426
Papua New Guinea,76
Paraguay,51
Peru,567
Philippines,2606
Poland,563
Portugal,286
Qatar,47
Republic of the Congo,30
Romania,376
Russia,917
Rwanda,88
Saudi Arabia,853
Senegal,258
Sierra Leone,31
Singapore,554
Slovakia,18
Slovenia,20
Somalia,95
South Africa,1038
South Korea,643
South Sudan,5
Spain,3240
Sri Lanka,32
Sudan,197
Swaziland,5
Sweden,753
Switzerland,308
Syria,58
Taiwan,52
Tajikistan,14
Tanzania,342
Thailand,1110
Togo,89
Trinidad and Tobago,120
Tunisia,22
Turkey,3024
Turkmenistan,58
Uganda,63
Ukraine,950
United Arab Emirates,37
United Kingdom,6161
United States,37873
Uruguay,101
Uzbekistan,105
Venezuela,774
Vietnam,996
Yemen,71
Zambia,251
Zimbabwe,190
